id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,misc_val,mo_sold,yr_sold,sale_type,saleprice,neighborhood_Blueste,neighborhood_BrDale,neighborhood_BrkSide,neighborhood_ClearCr,neighborhood_CollgCr,neighborhood_Crawfor,neighborhood_Edwards,neighborhood_Gilbert,neighborhood_Greens,neighborhood_GrnHill,neighborhood_IDOTRR,neighborhood_Landmrk,neighborhood_MeadowV,neighborhood_Mitchel,neighborhood_NAmes,neighborhood_NPkVill,neighborhood_NWAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_SWISU,neighborhood_Sawyer,neighborhood_SawyerW,neighborhood_Somerst,neighborhood_StoneBr,neighborhood_Timber,neighborhood_Veenker,lot_config_CulDSac,lot_config_FR2,lot_config_FR3,lot_config_Inside,total_sf,bathrooms,porch_area,condition_1_pos,condition_2_pos,condition_1_neg,condition_2_neg,has_pool,has_fireplace,has_garage,has_basement,garage_and_cars,quality,fireplace_and_qual,liv_area_rms_abvgrnd,condition,salepricelog
1044,527451290,160,RM,21.0,1680,Pave,1,4,4,3,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,1.0,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,3,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,7,0,0.0,Detchd,1971.0,Unf,1.0,264.0,3.0,3.0,3,0,0,0,0,0,0,0,7,2008,COD,85400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1470.0,2.0,0,0,0,0,0,0,0,1,1,264.0,162.0,0.0,3948,135.0,11.355101379776661
2752,906380150,20,RL,64.0,7488,Pave,2,4,4,3,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,5,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,7,0,0.0,Attchd,2005.0,RFn,2.0,632.0,3.0,3.0,3,105,58,0,0,0,0,0,2,2006,WD ,183600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2416.0,2.0,163,0,0,0,0,0,0,1,1,1264.0,448.0,0.0,7248,135.0,12.120514757168527
807,906226060,70,RL,120.0,26400,Pave,1,3,4,3,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,GasA,5,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,4,1,3.0,Attchd,1900.0,Unf,2.0,576.0,3.0,3.0,2,0,0,0,0,0,0,0,6,2009,WD ,131000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2016.0,1.0,0,0,0,1,0,0,1,1,0,1152.0,0.0,3.0,14112,0.0,11.782952602183288
1177,533236070,160,FV,24.0,2645,Pave,1,4,4,3,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,1.0,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,5,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,7,0,0.0,Detchd,2000.0,Unf,2.0,480.0,3.0,3.0,3,169,0,0,0,0,0,0,12,2008,ConLD,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2567.0,4.0,169,0,0,0,0,0,0,1,1,960.0,512.0,0.0,11249,135.0,12.206072645530174
1480,907418040,20,RL,74.0,9627,Pave,1,4,4,3,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,3.0,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,5,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,7,0,0.0,Attchd,2007.0,RFn,2.0,610.0,3.0,3.0,3,0,50,0,0,0,0,0,6,2008,WD ,193000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2712.0,2.0,50,0,0,0,0,0,0,1,1,1220.0,448.0,0.0,8166,135.0,12.170445467887022
324,923202105,20,RL,93.0,10114,Pave,1,4,4,3,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,3.0,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,5,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,7,0,0.0,Attchd,2004.0,RFn,2.0,624.0,3.0,3.0,3,0,0,0,0,0,0,0,3,2010,WD ,173500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2860.0,2.0,0,0,0,0,0,0,0,1,1,1248.0,300.0,0.0,10010,135.0,12.063932878369052
1311,902301140,70,RM,34.0,4571,Pave,1,4,4,3,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,1.0,Unf,0.0,Unf,0.0,624.0,624.0,GasA,2,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,7,0,0.0,Detchd,1916.0,Unf,3.0,513.0,2.0,2.0,3,0,0,96,0,0,0,0,5,2008,COD,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1968.0,1.0,96,0,0,0,0,0,0,1,1,1539.0,135.0,0.0,9408,90.0,11.49272275765271
770,905101490,20,RL,80.0,8816,Pave,1,4,4,3,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,3,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,7,0,0.0,Detchd,1963.0,Unf,2.0,480.0,3.0,3.0,3,0,80,0,0,0,0,0,6,2009,WD ,139000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2242.0,2.0,80,0,0,1,0,0,0,1,1,960.0,135.0,0.0,5605,162.0,11.842229212112828
2063,905107140,20,RL,71.0,8197,Pave,1,4,4,3,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,Unf,0.0,Unf,0.0,660.0,660.0,GasA,5,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,7,1,3.0,Attchd,1977.0,RFn,2.0,528.0,3.0,3.0,3,138,0,0,0,0,0,0,4,2007,WD ,143500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1945.0,2.0,138,0,0,0,0,0,1,1,1,1056.0,162.0,3.0,8995,135.0,11.874090314181814
69,528458070,60,FV,72.0,8640,Pave,1,4,4,3,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,2.0,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,5,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,7,0,0.0,Attchd,2009.0,Unf,2.0,614.0,3.0,3.0,3,169,45,0,0,0,0,0,6,2010,Con,215200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2303.0,3.0,214,0,0,0,0,0,0,1,1,1228.0,336.0,0.0,10829,135.0,12.279323107269766
2062,905106150,20,RL,109.0,8724,Pave,1,4,4,3,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,1.0,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,4,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,7,1,1.0,Attchd,1968.0,Fin,2.0,450.0,3.0,3.0,3,0,0,0,0,0,0,0,5,2007,WD ,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1788.0,1.0,0,0,0,0,0,0,1,1,1,900.0,180.0,1.0,4470,135.0,11.76756768334381
351,527131030,120,RL,40.0,5664,Pave,2,4,4,3,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1.0,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,5,1,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,7,1,5.0,Attchd,2000.0,Fin,2.0,499.0,3.0,3.0,3,212,59,0,0,0,0,0,10,2009,WD ,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3160.0,3.0,271,0,0,0,0,0,1,1,1,998.0,640.0,5.0,8295,135.0,12.535376392672774
2393,528142010,60,RL,103.0,12867,Pave,2,4,4,3,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,,0.0,4,3,PConc,5.0,3.0,3.0,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,5,1,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,7,1,4.0,Attchd,2005.0,Fin,2.0,575.0,3.0,3.0,3,243,142,0,0,0,0,0,7,2006,New,344133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3462.0,3.0,385,0,0,0,0,0,1,1,1,1150.0,800.0,4.0,18024,135.0,12.748783489541202
12,527165230,20,RL,72.02564102564102,7980,Pave,2,4,4,3,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4.0,3.0,1.0,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,5,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,7,0,0.0,Attchd,1992.0,Fin,2.0,420.0,3.0,3.0,3,483,21,0,0,0,0,500,3,2010,WD ,185000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2355.0,3.0,504,0,0,0,0,0,0,1,1,840.0,216.0,0.0,7122,252.0,12.128111104060462
2339,527250040,190,RL,100.0,34650,Pave,1,3,4,3,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2.0,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,3,0,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,7,0,0.0,Attchd,1955.0,Fin,2.0,572.0,3.0,3.0,3,264,0,0,0,0,0,0,1,2006,WD ,145000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2112.0,2.0,264,0,0,0,0,0,0,1,1,1144.0,135.0,0.0,5280,135.0,11.884489021402711
624,535104120,20,RL,92.0,10573,Pave,2,4,4,3,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3.0,3.0,1.0,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,5,1,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,7,1,3.0,Attchd,1961.0,RFn,2.0,530.0,3.0,3.0,3,0,49,0,0,288,0,0,4,2009,WD ,187500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906.0,3.0,337,0,0,0,0,0,1,1,1,1060.0,162.0,3.0,8718,162.0,12.141534124392603
86,532376160,20,RL,65.0,8450,Pave,1,4,4,3,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,5,1,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,3,5,7,1,4.0,Detchd,1973.0,Unf,1.0,336.0,3.0,3.0,3,416,144,0,0,0,0,0,4,2010,WD ,138500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1788.0,2.0,560,0,0,1,0,0,1,1,1,336.0,135.0,4.0,4470,288.0,11.83862560460953
1534,909277040,50,RL,69.27272727272727,11700,Pave,2,2,4,2,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,1.0,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,5,1,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,5,1,4.0,Detchd,1937.0,Unf,1.0,240.0,3.0,3.0,3,0,40,0,0,0,0,0,7,2008,WD ,198000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2880.0,2.0,40,0,0,0,0,0,1,1,1,240.0,180.0,4.0,13566,162.0,12.196022309676673
2243,911103060,190,C (all),75.0,8250,Pave,1,4,4,3,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,Unf,0.0,Unf,0.0,957.0,957.0,GasA,2,0,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,7,0,0.0,,1980.0,,0.0,0.0,0.0,0.0,1,0,0,133,0,0,0,0,6,2007,WD ,119600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2948.0,2.0,133,0,0,1,0,0,0,0,1,0.0,135.0,0.0,17919,0.0,11.691908120498669
1957,535450190,50,RL,60.0,8064,Pave,1,4,4,3,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,2.0,Unf,0.0,Unf,0.0,672.0,672.0,GasA,5,1,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,3,6,7,1,1.0,Detchd,2003.0,Unf,2.0,576.0,3.0,3.0,3,0,0,0,0,0,0,2000,7,2007,WD ,122900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1596.0,1.0,0,0,0,1,0,0,1,1,1,1152.0,135.0,1.0,5544,252.0,11.719126295554126
380,527355150,20,RL,80.0,9600,Pave,1,4,4,3,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4.0,3.0,1.0,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,3,1,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,7,1,4.0,Attchd,1981.0,Fin,2.0,542.0,3.0,3.0,3,474,120,0,0,0,0,0,7,2009,WD ,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5048.0,4.0,594,1,0,0,0,0,1,1,1,1084.0,512.0,4.0,22716,135.0,12.535376392672774
2860,909276010,70,RL,69.27272727272727,11435,Pave,2,2,4,2,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4.0,3.0,1.0,Unf,0.0,Unf,0.0,792.0,792.0,GasA,2,1,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,7,2,4.0,Detchd,1931.0,Unf,2.0,400.0,3.0,3.0,3,0,0,0,0,0,0,0,6,2006,WD ,230000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309.0,1.0,0,0,0,0,0,0,1,1,1,800.0,384.0,8.0,10619,189.0,12.345834587905333
2517,533250130,120,RL,30.0,9549,Pave,2,4,4,3,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4.0,4.0,3.0,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,5,1,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,7,1,4.0,Attchd,1995.0,Fin,2.0,481.0,3.0,3.0,3,0,30,0,0,216,0,0,4,2006,WD ,270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2988.0,3.0,246,0,0,0,0,0,1,1,1,962.0,640.0,4.0,8964,240.0,12.506177237980511
